ID,Form_ID,Overlap_Type,Dataset,Other_Form_ID,Comment,Source
0,80,direct,ab-antiquo,310,,meloniAntiquo2021
1,222,direct,ab-antiquo,571,,meloniAntiquo2021
2,394,direct,ab-antiquo,843,,meloniAntiquo2021
3,419,direct,ab-antiquo,878,,meloniAntiquo2021
4,457,direct,ab-antiquo,951,,meloniAntiquo2021
5,477,direct,ab-antiquo,968,,meloniAntiquo2021
6,707,direct,ab-antiquo,1369,,meloniAntiquo2021
7,741,direct,ab-antiquo,1373,,meloniAntiquo2021
8,791,direct,ab-antiquo,1419,,meloniAntiquo2021
9,795,direct,ab-antiquo,1420,,meloniAntiquo2021
10,932,direct,ab-antiquo,1643,,meloniAntiquo2021
11,1074,direct,ab-antiquo,1752,,meloniAntiquo2021
12,1230,direct,ab-antiquo,2006,,meloniAntiquo2021
13,1264,direct,ab-antiquo,2030,,meloniAntiquo2021
14,1268,direct,ab-antiquo,2039,,meloniAntiquo2021
15,1322,direct,ab-antiquo,2068,,meloniAntiquo2021
16,1474,direct,ab-antiquo,2148,,meloniAntiquo2021
17,1508,direct,ab-antiquo,2173,,meloniAntiquo2021
18,1628,direct,ab-antiquo,2212,,meloniAntiquo2021
19,1636,direct,ab-antiquo,2215,,meloniAntiquo2021
20,1712,direct,ab-antiquo,2290,,meloniAntiquo2021
21,1720,direct,ab-antiquo,2298,,meloniAntiquo2021
22,1765,direct,ab-antiquo,2318,,meloniAntiquo2021
23,1797,direct,ab-antiquo,2330,,meloniAntiquo2021
24,1801,direct,ab-antiquo,2337,,meloniAntiquo2021
25,1914,direct,ab-antiquo,2430,,meloniAntiquo2021
26,1940,direct,ab-antiquo,2443,,meloniAntiquo2021
27,2096,direct,ab-antiquo,2660,,meloniAntiquo2021
28,2144,direct,ab-antiquo,2797,,meloniAntiquo2021
29,2216,direct,ab-antiquo,2822,,meloniAntiquo2021
30,2236,direct,ab-antiquo,2835,,meloniAntiquo2021
31,2372,direct,ab-antiquo,2870,,meloniAntiquo2021
32,2514,direct,ab-antiquo,3007,,meloniAntiquo2021
33,2534,direct,ab-antiquo,3035,,meloniAntiquo2021
34,2748,direct,ab-antiquo,3169,,meloniAntiquo2021
35,2978,direct,ab-antiquo,3298,,meloniAntiquo2021
36,3108,direct,ab-antiquo,3404,,meloniAntiquo2021
37,3188,direct,ab-antiquo,3498,,meloniAntiquo2021
38,3208,direct,ab-antiquo,3521,,meloniAntiquo2021
39,3212,direct,ab-antiquo,3527,,meloniAntiquo2021
40,3234,direct,ab-antiquo,3535,,meloniAntiquo2021
41,3282,direct,ab-antiquo,3601,,meloniAntiquo2021
42,3517,direct,ab-antiquo,3801,,meloniAntiquo2021
43,3721,direct,ab-antiquo,3845,,meloniAntiquo2021
44,3725,direct,ab-antiquo,3857,,meloniAntiquo2021
45,3657,direct,ab-antiquo,3861,,meloniAntiquo2021
46,3777,direct,ab-antiquo,3961,,meloniAntiquo2021
47,4023,direct,ab-antiquo,4183,,meloniAntiquo2021
48,4101,direct,ab-antiquo,4321,,meloniAntiquo2021
